"Original","New"
"Noraxon MyoMotion-Segments-Shank LT-Orientation-x","Noraxon MyoMotion-Segments-PSIS LT-Orientation-x"
"Noraxon MyoMotion-Segments-Shank LT-Orientation-y","Noraxon MyoMotion-Segments-PSIS LT-Orientation-y"
"Noraxon MyoMotion-Segments-Shank LT-Orientation-z","Noraxon MyoMotion-Segments-PSIS LT-Orientation-z"
"Noraxon MyoMotion-Segments-Shank LT-Orientation-w","Noraxon MyoMotion-Segments-PSIS LT-Orientation-w"
"Shank Accel Sensor X LT (mG)","PSIS Accel Sensor X LT (mG)"
"Shank Accel Sensor Y LT (mG)","PSIS Accel Sensor Y LT (mG)"
"Shank Accel Sensor Z LT (mG)","PSIS Accel Sensor Z LT (mG)"
"Noraxon MyoMotion-Segments-Shank LT-Acceleration-x (mG)","Noraxon MyoMotion-Segments-PSIS LT-Acceleration-x (mG)"
"Noraxon MyoMotion-Segments-Shank LT-Acceleration-y (mG)","Noraxon MyoMotion-Segments-PSIS LT-Acceleration-y (mG)"
"Noraxon MyoMotion-Segments-Shank LT-Acceleration-z (mG)","Noraxon MyoMotion-Segments-PSIS LT-Acceleration-z (mG)"
"Noraxon MyoMotion-Segments-Shank LT-Gyroscope-x (deg/s)","Noraxon MyoMotion-Segments-PSIS LT-Gyroscope-x (deg/s)"
"Noraxon MyoMotion-Segments-Shank LT-Gyroscope-y (deg/s)","Noraxon MyoMotion-Segments-PSIS LT-Gyroscope-y (deg/s)"
"Noraxon MyoMotion-Segments-Shank LT-Gyroscope-z (deg/s)","Noraxon MyoMotion-Segments-PSIS LT-Gyroscope-z (deg/s)"
"Noraxon MyoMotion-Segments-Shank LT-Magnetometer-x (mGauss)","Noraxon MyoMotion-Segments-PSIS LT-Magnetometer-x (mGauss)"
"Noraxon MyoMotion-Segments-Shank LT-Magnetometer-y (mGauss)","Noraxon MyoMotion-Segments-PSIS LT-Magnetometer-y (mGauss)"
"Noraxon MyoMotion-Segments-Shank LT-Magnetometer-z (mGauss)","Noraxon MyoMotion-Segments-PSIS LT-Magnetometer-z (mGauss)"
"Shank course LT (deg)","PSIS course LT (deg)"
"Shank pitch LT (deg)","PSIS pitch LT (deg)"
"Shank roll LT (deg)","PSIS roll LT (deg)"
"Shank Tilt Fwd LT (deg)","Noraxon MyoMotion-Segments-PSIS LT-Tilt Fwd (deg)"
"Shank Tilt Med LT (deg)","Noraxon MyoMotion-Segments-PSIS LT-Tilt Med (deg)"
"Shank Rotation Ext LT (deg)","Noraxon MyoMotion-Segments-PSIS LT-Rotation Ext (deg)"
"Noraxon MyoMotion-Segments-Foot LT-Orientation-x","Noraxon MyoMotion-Segments-Foot LT-Orientation-x"
"Noraxon MyoMotion-Segments-Foot LT-Orientation-y","Noraxon MyoMotion-Segments-Foot LT-Orientation-y"
"Noraxon MyoMotion-Segments-Foot LT-Orientation-z","Noraxon MyoMotion-Segments-Foot LT-Orientation-z"
"Noraxon MyoMotion-Segments-Foot LT-Orientation-w","Noraxon MyoMotion-Segments-Foot LT-Orientation-w"
"Foot Accel Sensor X LT (mG)","Foot Accel Sensor X LT (mG)"
"Foot Accel Sensor Y LT (mG)","Foot Accel Sensor Y LT (mG)"
"Foot Accel Sensor Z LT (mG)","Foot Accel Sensor Z LT (mG)"
"Noraxon MyoMotion-Segments-Foot LT-Acceleration-x (mG)","Noraxon MyoMotion-Segments-Foot LT-Acceleration-x (mG)"
"Noraxon MyoMotion-Segments-Foot LT-Acceleration-y (mG)","Noraxon MyoMotion-Segments-Foot LT-Acceleration-y (mG)"
"Noraxon MyoMotion-Segments-Foot LT-Acceleration-z (mG)","Noraxon MyoMotion-Segments-Foot LT-Acceleration-z (mG)"
"Noraxon MyoMotion-Segments-Foot LT-Gyroscope-x (deg/s)","Noraxon MyoMotion-Segments-Foot LT-Gyroscope-x (deg/s)"
"Noraxon MyoMotion-Segments-Foot LT-Gyroscope-y (deg/s)","Noraxon MyoMotion-Segments-Foot LT-Gyroscope-y (deg/s)"
"Noraxon MyoMotion-Segments-Foot LT-Gyroscope-z (deg/s)","Noraxon MyoMotion-Segments-Foot LT-Gyroscope-z (deg/s)"
"Noraxon MyoMotion-Segments-Foot LT-Magnetometer-x (mGauss)","Noraxon MyoMotion-Segments-Foot LT-Magnetometer-x (mGauss)"
"Noraxon MyoMotion-Segments-Foot LT-Magnetometer-y (mGauss)","Noraxon MyoMotion-Segments-Foot LT-Magnetometer-y (mGauss)"
"Noraxon MyoMotion-Segments-Foot LT-Magnetometer-z (mGauss)","Noraxon MyoMotion-Segments-Foot LT-Magnetometer-z (mGauss)"
"Noraxon MyoMotion-Segments-Foot LT-Contact","Noraxon MyoMotion-Segments-Foot LT-Contact"
"Foot course LT (deg)","Foot course LT (deg)"
"Foot pitch LT (deg)","Foot pitch LT (deg)"
"Foot roll LT (deg)","Foot roll LT (deg)"
"Foot Tilt Fwd LT (deg)","Noraxon MyoMotion-Segments-Foot LT-Tilt Fwd (deg)"
"Foot Tilt Med LT (deg)","Noraxon MyoMotion-Segments-Foot LT-Tilt Med (deg)"
"Foot Rotation Ext LT (deg)","Noraxon MyoMotion-Segments-Foot LT-Rotation Ext (deg)"
"Noraxon MyoMotion-Segments-Upper arm RT-Orientation-x","Noraxon MyoMotion-Segments-C-Orientation-x"
"Noraxon MyoMotion-Segments-Upper arm RT-Orientation-y","Noraxon MyoMotion-Segments-C-Orientation-y"
"Noraxon MyoMotion-Segments-Upper arm RT-Orientation-z","Noraxon MyoMotion-Segments-C-Orientation-z"
"Noraxon MyoMotion-Segments-Upper arm RT-Orientation-w","Noraxon MyoMotion-Segments-C-Orientation-w"
"Upper arm Accel Sensor X RT (mG)","C Accel Sensor X (mG)"
"Upper arm Accel Sensor Y RT (mG)","C Accel Sensor Y (mG)"
"Upper arm Accel Sensor Z RT (mG)","C Accel Sensor Z (mG)"
"Noraxon MyoMotion-Segments-Upper arm RT-Acceleration-x (mG)","Noraxon MyoMotion-Segments-C-Acceleration-x (mG)"
"Noraxon MyoMotion-Segments-Upper arm RT-Acceleration-y (mG)","Noraxon MyoMotion-Segments-C-Acceleration-y (mG)"
"Noraxon MyoMotion-Segments-Upper arm RT-Acceleration-z (mG)","Noraxon MyoMotion-Segments-C-Acceleration-z (mG)"
"Noraxon MyoMotion-Segments-Upper arm RT-Gyroscope-x (deg/s)","Noraxon MyoMotion-Segments-C-Gyroscope-x (deg/s)"
"Noraxon MyoMotion-Segments-Upper arm RT-Gyroscope-y (deg/s)","Noraxon MyoMotion-Segments-C-Gyroscope-y (deg/s)"
"Noraxon MyoMotion-Segments-Upper arm RT-Gyroscope-z (deg/s)","Noraxon MyoMotion-Segments-C-Gyroscope-z (deg/s)"
"Noraxon MyoMotion-Segments-Upper arm RT-Magnetometer-x (mGauss)","Noraxon MyoMotion-Segments-C-Magnetometer-x (mGauss)"
